date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:39	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263fdf41d-154%22	https://www.classcentral.com/robots.txt		(from )
16:42:41	665098/665098	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2016:42:40%20GMT	https://www.classcentral.com/	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/index.html	(from )
16:42:42	9463/9463	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/DELL/Desktop/classcentral/p4/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
16:42:42	2206/2206	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
16:42:42	975/975	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
16:42:42	731/731	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
16:42:43	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263fdf41d-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
16:42:43	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263fdf41d-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
16:42:43	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263fdf41d-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
16:42:43	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
16:42:44	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
16:42:44	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
16:42:44	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
16:42:44	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
16:42:45	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
16:42:45	6868/6868	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/Users/DELL/Desktop/classcentral/p4/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
